perturbation,a3_auroc,a3_fpr_at_95tpr,a3_fixed_threshold_fpr,b2_auroc,b2_fpr_at_95tpr,b2_fixed_threshold_fpr
none,0.9849,0.0772,0.05,0.9899,0.0297,0.05
bright_shift_+10,0.9848,0.0772,0.05,0.9893,0.0317,0.0481
bright_shift_+25,0.9847,0.0778,0.05,0.9879,0.0447,0.0642
bright_shift_-15,0.9849,0.0772,0.05,0.9902,0.0342,0.0772
bright_gain_1.10,0.9847,0.0806,0.0886,0.9886,0.0381,0.0894
bright_gain_1.25,0.9816,0.0894,0.1664,0.9829,0.0753,0.2161
bright_gain_0.85,0.9848,0.08,0.0175,0.9899,0.0344,0.0508
noise_sigma_3,0.9848,0.0797,0.1289,0.9691,0.1728,1.0
noise_sigma_8,0.9842,0.0867,0.9964,0.9281,0.5131,1.0
noise_sigma_15,0.9794,0.1033,1.0,0.8399,0.7825,1.0
blur_sigma_0.8,0.9857,0.0714,0.0339,0.9903,0.0281,0.0497
blur_sigma_1.5,0.9856,0.0658,0.0244,0.9906,0.0275,0.0461
block_4px,0.9865,0.0622,0.0297,0.9913,0.025,0.0242
