run_id,coating_gap,position,frame_number,defect_ratio,moving_average,ewma,ucl,center,label_crack,label_delam,label_pinhole
R1,600,top-to-bottom-center,0,0.0286,0.0286,0.0391,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,0,0.0857,0.0571,0.0484,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,0,0.0714,0.0619,0.053,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,0,0.3,0.1214,0.1024,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,0,0.0571,0.1086,0.0934,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,36,0.0714,0.1024,0.089,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,36,0.0429,0.0939,0.0798,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,36,0.1571,0.1018,0.0952,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,36,0.0571,0.0968,0.0876,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,36,0.0571,0.0929,0.0815,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,41,0.0143,0.0857,0.0681,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,41,0.1286,0.0893,0.0802,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,41,0.0143,0.0835,0.067,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,45,0.0286,0.0796,0.0593,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,45,0.0429,0.0771,0.056,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,45,0.1,0.0819,0.0648,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,51,0.0143,0.0771,0.0547,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,51,0.0286,0.0743,0.0495,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,51,0.0571,0.0581,0.051,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,51,0.0,0.0543,0.0408,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,52,0.0143,0.0505,0.0355,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,52,0.0571,0.0514,0.0398,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,52,0.0143,0.0419,0.0347,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,52,0.0286,0.04,0.0335,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,53,0.0286,0.0381,0.0325,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,53,0.0429,0.04,0.0346,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,53,0.0143,0.0324,0.0305,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,53,0.0571,0.0352,0.0358,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,58,0.0714,0.0381,0.043,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,58,0.0143,0.0362,0.0372,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,58,0.0286,0.0314,0.0355,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,58,0.0286,0.0324,0.0341,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,61,0.0286,0.0324,0.033,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,61,0.0143,0.0295,0.0293,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,61,0.0429,0.0324,0.032,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,61,0.0143,0.0324,0.0284,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,61,0.0286,0.0305,0.0285,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,63,0.0714,0.0343,0.0371,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,63,0.0,0.0324,0.0296,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,63,0.0143,0.0314,0.0266,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,63,0.0,0.0286,0.0213,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,63,0.0143,0.0286,0.0199,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,70,0.0429,0.0276,0.0245,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,70,0.0714,0.0276,0.0339,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,70,0.0,0.0267,0.0271,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,70,0.0143,0.0257,0.0245,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,75,0.0286,0.0257,0.0253,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,75,0.0714,0.0286,0.0346,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,75,0.0143,0.0286,0.0305,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,79,0.0429,0.0286,0.033,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,79,0.1714,0.039,0.0607,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,79,0.0286,0.039,0.0542,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,79,0.0571,0.0381,0.0548,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,87,0.0571,0.0419,0.0553,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,87,0.0286,0.0429,0.0499,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,87,0.0286,0.0448,0.0457,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,104,0.0286,0.0457,0.0423,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,104,0.1,0.0495,0.0538,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,114,0.0286,0.0467,0.0488,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,114,0.0143,0.0476,0.0419,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,119,0.0143,0.0476,0.0363,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,127,0.0,0.0457,0.0291,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,140,0.0,0.041,0.0233,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,140,0.1143,0.0476,0.0415,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,140,0.0143,0.0457,0.036,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,140,0.0,0.0343,0.0288,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,140,0.0143,0.0333,0.0259,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,143,0.0143,0.0305,0.0236,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,143,0.0286,0.0286,0.0246,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,143,0.1429,0.0362,0.0482,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,143,0.0143,0.0352,0.0414,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,143,0.0,0.0333,0.0332,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,152,0.0857,0.0324,0.0437,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,152,0.0429,0.0333,0.0435,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,152,0.0286,0.0343,0.0405,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,165,0.0,0.0333,0.0324,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,165,0.0286,0.0352,0.0316,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,165,0.0143,0.0362,0.0282,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,165,0.0571,0.0324,0.034,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,174,0.0429,0.0343,0.0357,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,174,0.0429,0.0371,0.0372,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,174,0.0143,0.0371,0.0326,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,182,0.0286,0.0381,0.0318,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,182,0.0857,0.0419,0.0426,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,182,0.0571,0.0362,0.0455,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,199,0.0143,0.0362,0.0392,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,199,0.0,0.0362,0.0314,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,199,0.0286,0.0324,0.0308,0.1752,0.0418,0,0,1
