stem,run_id,coating_gap,position,frame_number,split
image_1,R7,700,middle,489,test_out
image_2,R1,1100,top-to-bottom-center-1,220,train
image_3,R1,1100,top-to-bottom-center,85,train
image_4,R1,1100,top-to-bottom-center-1,190,val
image_5,R1,1100,top-to-bottom-center,218,train
image_6,R1,600,top-to-bottom-center,569,val
image_7,R1,1100,top-to-bottom-center,77,train
image_8,R1,700,top-to-bottom-center,597,train
image_9,R7,700,middle,100,test_out
image_10,R1,900,top-to-bottom-center,251,train
image_11,R1,900,top-to-bottom-center,512,train
image_12,R1,1000,top-to-bottom-center,173,train
image_13,R1,1100,top-to-bottom-center,147,train
image_14,R1,1100,top-to-bottom-center,98,train
image_15,R1,1000,top-to-bottom-center,256,train
image_16,R1,600,top-to-bottom-center,61,train
image_17,R1,1100,top-to-bottom-center,361,train
image_18,R1,1000,top-to-bottom-center,487,train
image_19,R1,800,top-to-bottom-center,46,val
image_20,R1,800,top-to-bottom-center,631,train
image_21,R1,800,top-to-bottom-center,439,train
image_22,R1,1100,top-to-bottom-center,356,train
image_23,R1,1100,top-to-bottom-center,264,train
image_24,R1,800,top-to-bottom-center,412,train
image_25,R1,900,top-to-bottom-center,33,test_in
image_26,R1,800,top-to-bottom-center,540,train
image_27,R1,1100,top-to-bottom-center-1,425,train
image_28,R1,900,top-to-bottom-center,604,train
image_29,R1,1100,top-to-bottom-center-1,425,train
image_30,R1,1100,top-to-bottom-center-1,338,train
image_31,R1,1100,top-to-bottom-center-1,338,train
image_32,R1,800,top-to-bottom-center,439,train
image_33,R7,700,middle,500,test_out
image_34,R1,1100,top-to-bottom-center,128,train
image_35,R1,1100,top-to-bottom-center,86,val
image_36,R1,1100,top-to-bottom-center,281,train
image_37,R1,1100,top-to-bottom-center,183,val
image_38,R1,600,top-to-bottom-center,603,train
image_39,R1,1100,top-to-bottom-center-1,205,val
image_40,R1,1100,top-to-bottom-center-1,329,train
image_41,R1,700,top-to-bottom-center,485,train
image_42,R1,600,top-to-bottom-center,36,train
image_43,R1,1000,top-to-bottom-center,180,train
image_44,R1,1100,top-to-bottom-center,386,train
image_45,R1,600,top-to-bottom-center,387,test_in
image_46,R1,800,top-to-bottom-center,454,train
image_47,R1,600,top-to-bottom-center,594,train
image_48,R1,900,top-to-bottom-center,179,val
image_49,R1,1100,top-to-bottom-center,43,train
image_50,R1,900,top-to-bottom-center,263,train
image_51,R1,1000,top-to-bottom-center,395,train
image_52,R1,700,top-to-bottom-center,41,train
image_53,R1,800,top-to-bottom-center,479,train
image_54,R1,1100,top-to-bottom-center,327,train
image_55,R1,1100,top-to-bottom-center,286,train
image_56,R1,800,top-to-bottom-center,473,val
image_57,R1,600,top-to-bottom-center,45,train
image_58,R1,1000,top-to-bottom-center,458,train
image_59,R1,600,top-to-bottom-center,631,train
image_60,R1,1000,top-to-bottom-center,395,train
image_61,R1,600,top-to-bottom-center,182,train
image_62,R1,1000,top-to-bottom-center,260,train
image_63,R1,600,top-to-bottom-center,356,train
image_64,R1,1100,top-to-bottom-center,223,train
image_65,R1,900,top-to-bottom-center,392,train
image_66,R1,700,top-to-bottom-center,556,train
image_67,R1,1100,top-to-bottom-center,232,test_in
image_68,R1,900,top-to-bottom-center,405,train
image_69,R7,700,middle,581,test_out
image_70,R1,600,top-to-bottom-center,596,train
image_71,R1,1100,top-to-bottom-center-1,241,train
image_72,R1,600,top-to-bottom-center,387,test_in
image_73,R7,700,middle,512,test_out
image_74,R1,900,top-to-bottom-center,194,train
image_75,R1,1100,top-to-bottom-center,167,val
image_76,R1,1100,top-to-bottom-center-1,241,train
image_77,R1,800,top-to-bottom-center,638,val
image_78,R1,1100,top-to-bottom-center,124,train
image_79,R1,800,top-to-bottom-center,439,train
image_80,R1,800,top-to-bottom-center,119,train
image_81,R1,1100,top-to-bottom-center,372,train
image_82,R1,1000,top-to-bottom-center,134,train
image_83,R1,1100,top-to-bottom-center,277,train
image_84,R1,900,top-to-bottom-center,418,train
image_85,R1,900,top-to-bottom-center,405,train
image_86,R1,600,top-to-bottom-center,622,train
image_87,R1,600,top-to-bottom-center,526,train
